(нарядный костюм для мальчика)|10005671|no|common||elasticsearch|--context-subject="костюм" --query="нарядный костюм для мальчика"|presets/bucket_230|preset=10005671|()
(куртка бомбер женская)|10006027|no|common||elasticsearch|--context-subject="куртка" --query="куртка бомбер женская"|presets/bucket_639|preset=10006027&kind=0;2|()
(туфли мужские обувь)|10006227|no|common||elasticsearch|--context-subject="туфли" --query="туфли мужские обувь"|presets/bucket_330|preset=10006227|()
(для кресла)|10006335|no|common||elasticsearch|--context-subject="накидка на кресло" --query="накидка на кресло"|presets/bucket_335|preset=10006335|()
(на кресло)|10006335|no|common||elasticsearch|--context-subject="накидка на кресло" --query="накидка на кресло"|presets/bucket_335|preset=10006335|()
(детское постельное белье в кроватку)|10068728|no|common||elasticsearch|--context-subject="постельное белье" --query="детское постельное белье в кроватку"|presets/bucket_396|preset=10068728|()
(туалет для кошек)|10006789|no|common||elasticsearch|--query="туалет для кошек"|presets/bucket_550|preset=10006789|()
(дозатор для мыла)|10114699|no|common||elasticsearch|--query="дозатор мыла"|presets/bucket_198|preset=10114699|()
(сушилка для овощей)|10007193|no|common||elasticsearch|--query="сушилка для овощей"|presets/bucket_666|preset=10007193|()
(шапочка для девочки)|10007239|no|common||elasticsearch|--query="шапочка для девочки"|presets/bucket_628|preset=10007239|()
(nike cortez)|10007456|no|common||elasticsearch|--context-brand="nike" --query="nike cortez"|presets/bucket_148|preset=10007456|()
(садовая мебель)|10007523|no|common||elasticsearch|--query="садовая мебель"|presets/bucket_378|preset=10007523|()
(шорты nike мужские)|10007821|no|common||elasticsearch|--context-brand="nike" --context-subject="шорты" --query="шорты nike мужские"|presets/bucket_634|preset=10007821&kind=0;1|()
(спортивные штаны женские твое)|10017020|no|common||elasticsearch|--context-brand="твое" --context-subject="брюки спортивные" --query="спортивные штаны женские твое"|presets/bucket_165|preset=10017020|()
(резиновые сапоги детские обувь)|10028554|no|common||elasticsearch|--query="резиновые детские сапожки"|presets/bucket_695|preset=10028554|()
(сумка для коньков)|10007895|no|common||elasticsearch|--context-subject="сумки" --query="сумка для коньков"|presets/bucket_540|preset=10007895|()
(кроссовки adidas обувь мужские)|10008034|no|common||elasticsearch|--context-brand="adidas" --context-subject="кроссовки" --query="кроссовки adidas обувь мужские" --filter="parentSubject:(обувь)"|presets/bucket_294|preset=10008034|()
(ролики детские)|10051599|no|common||elasticsearch|--query="ролики детские"|presets/bucket_386|preset=10051599|()
(штаны adidas)|10081679|no|common||elasticsearch|--context-brand="adidas" --context-subject="брюки" --query="adidas брюки одежда"|presets/bucket_148|preset=10081679|()
(спортивный топ женский)|10093702|no|common||elasticsearch|--context-subject="топы спортивные" --query="топ спортивный женский"|presets/bucket_17|preset=10093702|()
(школьный ранец)|10008438|no|common||elasticsearch|--context-subject="ранец" --query="школьный ранец"|presets/bucket_180|preset=10008438|()
(от моли)|10008624|no|common||elasticsearch|--query="от моли"|presets/bucket_50|preset=10008624|()
(convers)|18923355|no|common||elasticsearch|--context-brand="конверсы" --context-subject="кеды" --max-product=35000 --query="конверсы обувь"|presets/bucket_331|preset=18923355|()
(мужской деловой костюм)|10037102|no|common||elasticsearch|--context-subject="костюм деловой" --query="офисный костюм мужской"|presets/bucket_14|preset=10037102&kind=0;1|()
(куртка детская демисезонная для девочки)|10009086|no|common||elasticsearch|--context-subject="куртка" --query="куртка детская демисезонная для девочки"|presets/bucket_216|preset=10009086|()
(джоггеры для мальчиков)||no|common||kind_item||pants|subject=11&kind=3;6|()
(кеды ванс мужские)|10009720|no|common||elasticsearch|--context-subject="кеды" --query="кеды ванс мужские"|presets/bucket_586|preset=10009720&kind=0;1|()
(автомат)|10009799|no|common||elasticsearch|--query="автомат"|presets/bucket_130|preset=10009799|()
(брюки пижамные)|10016766|no|common||elasticsearch|--context-subject="брюки пижамные" --query="брюки пижамные"|presets/bucket_165|preset=10016766|()
(пищевой краситель)|10010306|no|common||elasticsearch|--context-subject="красители пищевые" --query="пищевой краситель"|presets/bucket_217|preset=10010306|()
(сапоги мужские)||no|common||kind_item||men_shoes|subject=99;283;391;1025;2771;2772&kind=0;1|()
(конверсы)|18923355|no|common||elasticsearch|--context-brand="конверсы" --context-subject="кеды" --max-product=35000 --query="конверсы обувь"|presets/bucket_331|preset=18923355|()
(инсити женская одежда)|10011400|no|common||elasticsearch|--context-subject="одежда" --query="инсити женская одежда"|presets/bucket_319|preset=10011400|()
(ми ко)|10029649|no|common||elasticsearch|--query="ми ко"|presets/bucket_558|preset=10029649|()
(пляжная мода)|10011699|no|common||elasticsearch|--query="пляжная мода"|presets/bucket_584|preset=10011699|()
(куртка бомбер мужская)|10011751|no|common||elasticsearch|--context-subject="куртка" --query="куртка бомбер мужская"|presets/bucket_224|preset=10011751&kind=0;1|()
(тренчкоты и плащи женские)|10001628|no|common||elasticsearch|--context-subject="тренчкот" --query="тренчкоты и плащи женские"|presets/bucket_226|preset=10001628|()
(сланцы для мальчика)|10184762|no|common||elasticsearch|--query="сланцы для мальчика обувь"|presets/bucket_20|preset=10184762|()
(бриллиант)||no|common||menu_item||jewellery|subject=205;54;299;207|()
(твое женская одежда футболка)|10012811|no|common||elasticsearch|--context-brand="твое" --context-subject="футболка" --query="твое женская одежда футболка"|presets/bucket_22|preset=10012811|()
(топ на одно плечо)|10012915|no|common||elasticsearch|--context-subject="топ" --query="топ на одно плечо"|presets/bucket_657|preset=10012915|()
(топы для девочек)||no|common||kind_item||tops_tshirts|subject=185;2230;5270;192;219;1206;4600;4601;4603;4604;2615;5215;131;217&kind=3;5|()
(би фри)|10013535|no|common||elasticsearch|--query="би фри"|presets/bucket_223|preset=10013535|()
(кроссовки фила женские)|10064882|no|common||elasticsearch|--context-subject="кроссовки" --query="кроссовки фила женские" --filter="parentSubject:(обувь)"|presets/bucket_273|preset=10064882|()
(чехлы для коньков)|10028055|no|common||elasticsearch|--context-subject="чехол на коньки" --query="чехлы для коньков"|presets/bucket_29|preset=10028055|()
(органайзер для холодильника)|10013969|no|common||elasticsearch|--query="органайзер для холодильника"|presets/bucket_670|preset=10013969|()
(плащ женский большие размеры)|10013954|no|common||elasticsearch|--context-subject="плащ" --query="плащ женский большие размеры"|presets/bucket_639|preset=10013954|()
(контейнер пластик для хранения)|10014049|no|common||elasticsearch|--query="контейнер пластик для хранения"|presets/bucket_589|preset=10014049|()
(женская одежда lime)|10014118|no|common||elasticsearch|--context-subject="одежда" --query="женская одежда lime"|presets/bucket_214|preset=10014118|()
(asics gel sonoma)|10034001|no|common||elasticsearch|--context-brand="asics" --context-subject="кроссовки" --query="asics gel sonoma"|presets/bucket_638|preset=10034001|()
(мужские стринги)||no|common||kind_item||men_mixtape|subject=133&ext=32346&kind=1|()
(туфли женские каприз)||no|common||||brands/c|brand=162&subject=100&kind=0;2|()
(сапоги резиновые детские для девочек)|10107790|no|common||elasticsearch|--query="резиновые детские сапожки для девочки"|presets/bucket_695|preset=10107790|()
(куртка короткая женская весенняя)|10015411|no|common||elasticsearch|--context-subject="куртка" --query="куртка короткая женская весенняя"|presets/bucket_299|preset=10015411&kind=0;2|()
(кеды dc)|10015644|no|common||elasticsearch|--context-subject="кеды" --query="кеды dc"|presets/bucket_20|preset=10015644|()
(детский свитер для девочек)|10015723|no|common||elasticsearch|--context-subject="свитер" --query="детский свитер для девочек"|presets/bucket_28|preset=10015723|()
(пачка)||no|common||menu_item||skirts|subject=38|()
(часы женские наручные)|10142984|no|common||elasticsearch|--query="часы ручные женские"|presets/bucket_630|preset=10142984|()
(майка шелковая)|10016701|no|common||elasticsearch|--query="майка шелковая"|presets/bucket_10|preset=10016701|()
(шорты для мальчика одежда)|10016759|no|common||elasticsearch|--context-subject="шорты" --query="шорты для мальчика одежда"|presets/bucket_555|preset=10016759|()
(джемперы)||no|common||menu_item||jumpers_cardigans|subject=215;160;161;163;158;2572;3644;3999;4609;4611;4612;4613;4614;4616;4618;4637;4639;4646;5206;41;150;153;159;184;217;225;233;1554;1724;2546;5202;5265|()
