(bershka толстовка)||yes|common||||brands/b|brand=106259&subject=233;5214|()
(брелки геншин)|200008984|yes|common||elasticsearch|--context-subject="брелок" --query="брелки геншин" --max-product=35000|presets/bucket_33|preset=200008984|()
(колонки автомобильные)|200008985|yes|common||elasticsearch|--context-subject="колонка автомобильная" --query="колонки автомобильные" --max-product=35000|presets/bucket_343|preset=200008985|()
(акриловый герметик)|200008986|yes|common||elasticsearch|--context-subject="герметик" --query="акриловый герметик" --max-product=35000|presets/bucket_227|preset=200008986|()
(ресницы с пропиткой)|200008987|yes|common||elasticsearch|--query="ресницы с пропиткой" --max-product=35000|presets/bucket_223|preset=200008987|()
(подарок к 8 марта)|230228017|yes|common||catalog|--one-by-one-join --limit=100000 "http://wbxcatalog-ru.wildberries.ru/gift5/catalog?subject=341;340;254;27;317;403;6623;570;662;812;947;268;1834;948;1624" "http://wbxcatalog-ru.wildberries.ru/gift6/catalog?subject=341;340;254;27;317;403;6623;570;662;812;947;268;1834;948;1624" "http://wbxcatalog-ru.wildberries.ru/gift7/catalog?subject=341;340;254;27;317;403;6623;570;662;812;947;268;1834;948;1624" "http://wbxcatalog-ru.wildberries.ru/gift8/catalog?subject=341;340;254;27;317;403;6623;570;662;812;947;268;1834;948;1624" "http://wbxcatalog-ru.wildberries.ru/gift9/catalog?subject=341;340;254;27;317;403;6623;570;662;812;947;268;1834;948;1624" "https://wbxcatalog-ru.wildberries.ru/beauty5/catalog?subject=1952;356" "https://wbxcatalog-ru.wildberries.ru/product/catalog?subject=5186;1054;3568;3569;2878;3511;3390" "https://wbxcatalog-ru.wildberries.ru/gift1/catalog?subject=2884;96" "https://wbxcatalog-ru.wildberries.ru/premium/catalog?subject=341;352;403" "https://wbxcatalog-ru.wildberries.ru/electronic2/catalog?subject=593" "https://wbxcatalog-ru.wildberries.ru/jewellery/catalog?subject=951;952;1237;3663;3974;6215;6312" "https://wbxcatalog-ru.wildberries.ru/housewear_root/catalog?subject=162" @sort: --apply-self-ranker-sales=false --apply-self-ranker-views=false|presets/bucket_236|preset=230228017|()
(костюм женский для дома)|200008989|yes|common||elasticsearch|--query="костюм женский для дома" --max-product=35000|presets/bucket_131|preset=200008989|()
(защитное стекло iphone 13 mini)|200000035|yes|common||elasticsearch|--context-brand="iphone" --context-subject="защитное стекло" --query="защитное стекло iphone 13 mini" --max-product=35000|presets/bucket_83|preset=200000035|()
(8 марта воспитателю)|200008990|yes|common||elasticsearch|--query="8 марта воспитателю" --max-product=35000|presets/bucket_225|preset=200008990|()
(юсб кабель)|200000079|yes|common||elasticsearch|--context-subject="кабели" --query="юсб кабель" --max-product=35000|presets/bucket_574|preset=200000079|()
(футболка с длинным рукавом женская)|200000075|yes|common||elasticsearch|--query="футболка с длинным рукавом женская" --max-product=35000|presets/bucket_636|preset=200000075|()
(леггинсы для фитнеса)|200008993|yes|common||elasticsearch|--context-subject="леггинсы" --query="леггинсы для фитнеса" --max-product=35000|presets/bucket_299|preset=200008993|()
(майка хаги ваги)|200008994|yes|common||elasticsearch|--query="майка хаги ваги" --max-product=35000|presets/bucket_351|preset=200008994|()
(интерактивная копилка)|200008995|yes|common||elasticsearch|--context-subject="копилка" --query="интерактивная копилка" --max-product=35000|presets/bucket_280|preset=200008995|()
(наклейки а4)|200000084|yes|common||elasticsearch|--query="наклейки а4" --max-product=35000|presets/bucket_593|preset=200000084|()
(перчатки кожаные женские)|200008997|yes|common||elasticsearch|--context-subject="перчатки" --query="перчатки кожаные женские" --max-product=35000|presets/bucket_225|preset=200008997|()
(ланика пальто)|200008998|yes|common||elasticsearch|--context-subject="пальто" --query="ланика пальто" --max-product=35000|presets/bucket_225|preset=200008998|()
(кабель oculus link)|200000087|yes|common||elasticsearch|--context-brand="oculus" --context-subject="кабели" --query="кабель oculus link" --max-product=35000|presets/bucket_92|preset=200000087|()
(боксы к 8 марта)|2468|yes|common||elasticsearch|--query="боксы к 8 марта" --max-product=35000|presets/bucket_229|preset=2468|()
(сергей бодров)|200008999|yes|common||elasticsearch|--query="сергей бодров" --max-product=35000|presets/bucket_223|preset=200008999|()
(ботильоны женские демисезонные натуральная кожа)|200000077|yes|common||elasticsearch|--context-subject="ботильоны" --query="ботильоны женские демисезонные натуральная кожа" --max-product=35000|presets/bucket_606|preset=200000077|()
(любимой тете)|200009001|yes|common||elasticsearch|--query="любимой тете" --max-product=35000|presets/bucket_225|preset=200009001|()
(ключница кожаная)|200009002|yes|common||elasticsearch|--context-subject="ключница" --query="ключница кожаная" --max-product=35000|presets/bucket_225|preset=200009002|()
(фоллаут)|200000098|yes|common||elasticsearch|--query="фоллаут" --max-product=35000|presets/bucket_544|preset=200000098|()
(пена для бритья для мужчин набор)|200009004|yes|common||elasticsearch|--context-subject="пена для бритья" --query="пена для бритья для мужчин набор" --max-product=35000|presets/bucket_229|preset=200009004|()
(ручка кпп с подсветкой)|200009005|yes|common||elasticsearch|--query="ручка кпп с подсветкой" --max-product=35000|presets/bucket_340|preset=200009005|()
(товары для дома кухня)|200009006|yes|common||elasticsearch|--query="товары для дома кухня" --max-product=35000|presets/bucket_310|preset=200009006|()
(к себе нежно ежедневник)|200000101|yes|common||elasticsearch|--query="к себе нежно ежедневник" --max-product=35000|presets/bucket_503|preset=200000101|()
(зайчик для зубочисток)|200009008|yes|common||elasticsearch|--query="зайчик для зубочисток" --max-product=35000|presets/bucket_73|preset=200009008|()
(свитер женский с горлом)|200009009|yes|common||elasticsearch|--context-subject="свитер" --query="свитер женский с горлом" --max-product=35000|presets/bucket_9|preset=200009009|()
(убрать шерсть с ковра)|200000105|yes|common||elasticsearch|--query="убрать шерсть с ковра" --max-product=35000|presets/bucket_591|preset=200000105|()
